,capacity,bucket_size,alpha,fpr
0,1024,2,0.70458984,0.0
1,1024,4,0.75463867,0.0
2,2048,2,0.63696289,0.0
3,2048,4,0.7199707,0.0
4,4096,2,0.65759277,0.0
5,4096,4,0.72888184,0.00016746
6,8192,2,0.64263916,9.497e-05
7,8192,4,0.73764038,0.00012411
8,16384,2,0.65869141,4.633e-05
9,16384,4,0.70965576,6.45e-05
10,32768,2,0.65539551,2.328e-05
11,32768,4,0.73695374,0.00011388
12,65536,2,0.64017487,2.384e-05
13,65536,4,0.70681,8.096e-05
14,131072,2,0.63739395,4.788e-05
15,131072,4,0.72149849,8.724e-05
16,262144,2,0.64289284,4.154e-05
17,262144,4,0.72190952,6.869e-05
18,524288,2,0.63727283,3.143e-05
19,524288,4,0.71485043,8.338e-05
